Time,Cp
min,ug/L
10,0
15,0.28
20,0.54
30,1.25
40,2
50,2.03
60,1.95
90,1.85
100,1.72
120,1.6
140,1.34
160,1.09
180,0.86
210,0.78
240,0.6
300,0.21
360,0.18
