time,Cp,Group
0.0056,missing,1
0.03333,4.77,1
0.13333,3.43,1
0.25,2.7,1
0.75,2.28,1
1,missing,1
2,2.57,1
3,missing,1
4,2.06,1
6,1.97,1
8,1.36,1
10,missing,1
12,missing,1
15,missing,1
20,0.191,1
23,0.0478,1
0.08333,0.952,2
0.25,3.62,2
0.5,3.3,2
1,2.75,2
2,2.57,2
4,2.51,2
6,2.25,2
8,1.96,2
23,0.141,2
